submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
12/31/2020,MA,"375,178","359,445","15,733","7,260",373,"12,613","12,346",267,84,1,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,CO,"347,288","329,078","18,210","2,860",202,"4,814","4,168",646,64,7,12/31/2020 12:00:00 AM,Agree,Agree
12/31/2020,AK,"45,771",,,372,0,281,,,3,0,12/31/2020 12:00:00 AM,N/A,N/A
12/31/2020,OK,"325,524","266,064","59,460","4,151","1,033","4,564","4,050",514,55,10,01/01/2021 12:00:00 AM,Agree,Agree
12/31/2020,GA,"666,452","566,676","99,776","11,709","3,210","10,934","9,872","1,062",88,24,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,UT,"276,612","276,612",0,"4,672",0,"1,269","1,244",25,13,2,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,OH,"700,380","628,336","72,044","9,632","1,477","8,962","8,112",850,107,4,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,NY,"548,154",,,"10,809",0,"12,566",,,100,0,01/01/2021 02:49:07 PM,Not agree,Not agree
12/31/2020,IA,"280,669",,,"1,710",392,"3,891",,,69,69,01/01/2021 02:49:07 PM,Not agree,Not agree
12/31/2020,NM,"142,864",,,"1,678",0,"2,385",,,41,0,01/02/2021 12:00:00 AM,N/A,Not agree
12/31/2020,NC,"547,794","498,951","48,843","10,310","1,560","7,925","7,333",592,94,19,12/31/2020 12:00:00 AM,Agree,Agree
12/31/2020,ND,"92,770","89,730","3,040",275,70,"1,309",,,17,0,01/01/2021 02:49:07 PM,Agree,Not agree
12/31/2020,MO,"449,569",,,"3,800",947,"6,856",,,41,0,01/02/2021 12:00:00 AM,Not agree,Not agree
12/31/2020,MD,"276,662",,,"2,973",0,"6,257","6,067",190,49,0,01/02/2021 12:00:00 AM,N/A,Agree
12/31/2020,VT,"6,970",,,138,10,145,,,2,0,01/02/2021 12:00:00 AM,Not agree,Not agree
12/31/2020,MS,"221,928","150,997","70,931","2,566","1,662","5,646","4,228","1,418",53,33,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,NE,"167,233",,,"1,473",0,"1,651",,,40,0,01/02/2021 12:00:00 AM,Not agree,Not agree
12/31/2020,IL,"963,389","963,389",0,"8,009",0,"17,978","16,490","1,488",167,34,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,CT,"185,708","174,679","11,029","2,045",273,"5,995","4,854","1,141",31,5,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,WA,"244,804",,,"3,065",259,"3,461",,,41,0,12/31/2020 12:00:00 AM,N/A,N/A
12/31/2020,NH,"44,028",,,786,343,758,,,17,4,01/01/2021 02:49:07 PM,Not agree,Not agree
12/31/2020,LA,"315,275",,,"4,046",717,"7,488","7,115",373,40,3,01/01/2021 02:49:07 PM,Not agree,Agree
12/31/2020,OR,"113,909","112,189","1,720","1,649",0,"1,477","1,462",15,9,0,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,DC,"28,983",,,225,0,786,,,6,0,01/01/2021 02:49:07 PM,,
12/31/2020,MN,"415,302",,,"2,195",400,"5,382","5,151",231,61,10,01/01/2021 02:49:07 PM,N/A,Agree
12/31/2020,AZ,"520,559","495,469","25,090","7,721",904,"8,864","8,006",858,146,32,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,WY,"44,409","38,010","6,399",276,64,438,438,0,33,0,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,NJ,"527,784",,,"5,525",429,"19,042","17,021","2,021",90,0,12/31/2020 12:00:00 AM,Not agree,Agree
12/31/2020,ID,"141,077","116,717","24,360","1,213",346,"1,436","1,269",167,33,4,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,VI,"2,036",,,5,0,23,,,0,0,01/01/2021 02:49:07 PM,,
12/31/2020,GU,"7,308",,,0,0,121,,,0,0,01/01/2021 02:49:07 PM,Not agree,Not agree
12/31/2020,MT,"81,555","81,555",0,255,0,961,961,0,11,0,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,DE,"57,512","55,337","2,175",878,32,"1,127","1,006",121,9,0,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,MI,"589,728","541,752","47,976","2,567",258,"13,816","13,038",778,78,8,01/01/2021 12:00:00 AM,Agree,Agree
12/31/2020,CA,"2,231,552","2,231,552",0,"13,410",0,"25,374","25,374",0,636,0,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,NV,"224,731","224,731",0,"2,137",0,"3,125",,,59,0,01/01/2021 02:49:07 PM,Agree,
12/31/2020,WI,"520,438","481,102","39,336","4,212",402,"5,242","4,859",383,50,9,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,AL,"362,015","294,829","67,186","4,779",947,"7,189","5,916","1,273",71,15,12/31/2020 12:00:00 AM,Agree,Agree
12/31/2020,IN,"511,698",,,"6,480",0,"8,236","7,931",305,103,3,12/31/2020 12:00:00 AM,Not agree,Agree
12/31/2020,ME,"25,924","22,034","3,890",593,129,347,341,6,3,1,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,VA,"354,767","297,054","57,713","5,183","1,575","5,081","4,478",603,49,8,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,KY,"274,998","219,569","55,429","4,158","1,019","4,861","4,384",477,62,9,12/31/2020 12:00:00 AM,Agree,Agree
12/31/2020,SC,"317,431","286,924","30,507","4,942","1,313","5,306",,,52,11,12/31/2020 12:00:00 AM,Agree,Not agree
12/31/2020,RI,"85,397",,,"1,285",0,"1,778",,,6,0,12/31/2020 12:00:00 AM,Not agree,N/A
12/31/2020,FSM,0,0,0,0,0,0,0,0,0,0,12/31/2020 12:00:00 AM,Agree,Agree
12/31/2020,NYC,"442,472","391,642","50,830","6,218","1,008","25,061","20,317","4,744",54,4,12/29/2020 12:00:00 AM,Agree,Agree
12/31/2020,WV,"85,334","69,506","15,828","1,109",-3,"1,338",,,20,4,01/01/2021 02:49:07 PM,Agree,Not agree
12/31/2020,FL,"1,313,972",,,"20,936","5,009","23,299",,,159,14,12/31/2020 12:00:00 AM,Not agree,Not agree
12/31/2020,AR,"225,138",,,"2,708",871,"3,676",,,39,19,01/01/2021 02:49:07 PM,Not agree,Not agree
12/31/2020,MP,122,122,0,0,0,2,2,0,0,0,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,PR,"79,858","75,122","4,736",805,74,"1,515","1,262",253,20,4,12/31/2020 12:00:00 AM,Agree,Agree
12/31/2020,HI,"21,026",,,175,0,286,,,3,0,01/01/2021 02:49:07 PM,Not agree,Not agree
12/31/2020,TX,"1,756,172",,,"18,725","3,740","31,282",,,266,0,01/02/2021 12:00:00 AM,Not agree,Not agree
12/31/2020,AS,3,,,0,0,0,,,0,0,01/01/2021 02:49:07 PM,,
12/31/2020,PW,0,,,0,0,0,,,0,0,01/01/2021 02:49:07 PM,,
12/31/2020,KS,"222,433","186,199","36,234",0,0,"2,741",,,0,0,01/01/2021 02:49:07 PM,Agree,N/A
12/31/2020,TN,"576,167","507,417","68,750","6,684","2,154","6,810","5,923",887,100,30,12/30/2020 12:00:00 AM,Agree,Agree
12/31/2020,RMI,4,4,0,0,0,0,0,0,0,0,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,SD,"99,164",,,444,119,"1,488","1,204",284,24,6,01/01/2021 02:49:07 PM,N/A,Agree
12/31/2020,PA,"648,569","581,228","67,341","8,374","1,181","15,978",,,306,237,12/31/2020 12:00:00 AM,Agree,Not agree
